IsoCode;TypeOfFoodID;TypeOfNutritionalFactId;SupplyQuantity
BEL;7;1;0.5971
BLZ;7;1;0.3707
BEN;7;1;0.5263
BOL;7;1;0.1062
BIH;7;1;0.1836
BWA;7;1;0.1923
BRA;7;1;0.2309
BGR;7;1;0.2829
BFA;7;1;0.2574
CPV;7;1;0.3976
KHM;7;1;1.7792
CMR;7;1;0.5464
CAN;7;1;0.5297
CAF;7;1;0.4265
TCD;7;1;0.4787
CHL;7;1;0.3985
CHN;7;1;1.2872
COL;7;1;0.2424
COG;7;1;1.1693
CRI;7;1;0.7299
CIV;7;1;0.641
HRV;7;1;0.6
CUB;7;1;0.1466
CYP;7;1;0.8604
CZE;7;1;0.29
DNK;7;1;0.9459
DJI;7;1;0.1493
DMA;7;1;1.036
DOM;7;1;0.2968
ECU;7;1;0.2512
EGY;7;1;0.6322
SLV;7;1;0.2818
EST;7;1;0.339
SWZ;7;1;0.1663
ETH;7;1;0.0217
FJI;7;1;1.1238
FIN;7;1;0.944
FRA;7;1;0.8994
PYF;7;1;1.6419
GAB;7;1;1.0781
GMB;7;1;1.1021
GEO;7;1;0.2613
DEU;7;1;0.5343
GHA;7;1;0.923
GRC;7;1;0.5068
GRD;7;1;1.1446
GTM;7;1;0.0981
GIN;7;1;0.3399
GNB;7;1;0.0444
GUY;7;1;0.8666
HTI;7;1;0.2079
HND;7;1;0.0979
HUN;7;1;0.1978
ISL;7;1;2.2746
IND;7;1;0.2582
IDN;7;1;1.4698
IRN;7;1;0.3686
IRQ;7;1;0.1196
IRL;7;1;0.7398
ISR;7;1;0.6409
ITA;7;1;0.7951
JAM;7;1;0.8707
JPN;7;1;2.3174
JOR;7;1;0.2211
KAZ;7;1;0.1408
KEN;7;1;0.1648
KIR;7;1;2.6014
PRK;7;1;0.4186
KOR;7;1;1.6325
KWT;7;1;0.3048
KGZ;7;1;0.0536
LAO;7;1;0.7877
LVA;7;1;0.8364
LBN;7;1;0.2779
LSO;7;1;0.0877
LBR;7;1;0.258
LTU;7;1;0.9651
